Date,AMZN,^GSPC
2015-01-02,308.5199890136719,2058.199951171875
2015-01-05,302.19000244140625,2020.5799560546875
2015-01-06,295.2900085449219,2002.6099853515625
2015-01-07,298.4200134277344,2025.9000244140625
2015-01-08,300.4599914550781,2062.139892578125
2015-01-09,296.92999267578125,2044.81005859375
2015-01-12,291.4100036621094,2028.260009765625
2015-01-13,294.739990234375,2023.030029296875
2015-01-14,293.2699890136719,2011.27001953125
2015-01-15,286.95001220703125,1992.6700439453125
2015-01-16,290.739990234375,2019.4200439453125
2015-01-20,289.44000244140625,2022.550048828125
2015-01-21,297.25,2032.1199951171875
2015-01-22,310.32000732421875,2063.14990234375
2015-01-23,312.3900146484375,2051.820068359375
2015-01-26,309.6600036621094,2057.090087890625
2015-01-27,306.75,2029.550048828125
2015-01-28,303.9100036621094,2002.1600341796875
2015-01-29,311.7799987792969,2021.25
2015-01-30,354.5299987792969,1994.989990234375
2015-02-02,364.4700012207031,2020.8499755859375
2015-02-03,363.54998779296875,2050.030029296875
2015-02-04,364.75,2041.510009765625
2015-02-05,373.8900146484375,2062.52001953125
2015-02-06,374.2799987792969,2055.469970703125
2015-02-09,370.55999755859375,2046.739990234375
2015-02-10,373.0,2068.590087890625
2015-02-11,375.1400146484375,2068.530029296875
2015-02-12,377.1700134277344,2088.47998046875
2015-02-13,381.8299865722656,2096.989990234375
2015-02-17,375.42999267578125,2100.340087890625
2015-02-18,373.3699951171875,2099.679931640625
2015-02-19,379.0,2097.449951171875
2015-02-20,383.6600036621094,2110.300048828125
2015-02-23,380.1400146484375,2109.659912109375
2015-02-24,378.5899963378906,2115.47998046875
2015-02-25,385.3699951171875,2113.860107421875
2015-02-26,384.79998779296875,2110.739990234375
2015-02-27,380.1600036621094,2104.5
2015-03-02,385.6600036621094,2117.389892578125
2015-03-03,384.6099853515625,2107.780029296875
2015-03-04,382.7200012207031,2098.530029296875
2015-03-05,387.8299865722656,2101.0400390625
2015-03-06,380.0899963378906,2071.260009765625
2015-03-09,378.55999755859375,2079.429931640625
2015-03-10,369.510009765625,2044.1600341796875
2015-03-11,366.3699951171875,2040.239990234375
2015-03-12,374.239990234375,2065.949951171875
2015-03-13,370.5799865722656,2053.39990234375
2015-03-16,373.3500061035156,2081.18994140625
2015-03-17,371.9200134277344,2074.280029296875
2015-03-18,375.1400146484375,2099.5
2015-03-19,373.239990234375,2089.27001953125
2015-03-20,378.489990234375,2108.10009765625
2015-03-23,375.1099853515625,2104.419921875
2015-03-24,374.0899963378906,2091.5
2015-03-25,370.9599914550781,2061.050048828125
2015-03-26,367.3500061035156,2056.14990234375
2015-03-27,370.55999755859375,2061.02001953125
2015-03-30,374.5899963378906,2086.239990234375
2015-03-31,372.1000061035156,2067.889892578125
2015-04-01,370.260009765625,2059.68994140625
2015-04-02,372.25,2066.9599609375
2015-04-06,377.0400085449219,2080.6201171875
2015-04-07,374.4100036621094,2076.330078125
2015-04-08,381.20001220703125,2081.89990234375
2015-04-09,383.5400085449219,2091.179931640625
2015-04-10,382.6499938964844,2102.06005859375
2015-04-13,382.3599853515625,2092.429931640625
2015-04-14,385.1099853515625,2095.840087890625
2015-04-15,383.45001220703125,2106.6298828125
2015-04-16,386.0400085449219,2104.989990234375
2015-04-17,375.55999755859375,2081.179931640625
2015-04-20,389.510009765625,2100.39990234375
2015-04-21,391.17999267578125,2097.2900390625
2015-04-22,389.79998779296875,2107.9599609375
2015-04-23,389.989990234375,2112.929931640625
2015-04-24,445.1000061035156,2117.68994140625
2015-04-27,438.55999755859375,2108.919921875
