Date,AAPL,WMT
2019-01-02,38.277523040771484,88.23514556884766
2019-01-03,34.46480178833008,87.7813949584961
2019-01-04,35.936073303222656,88.32967376708984
2019-01-07,35.85609436035156,89.36952209472656
2019-01-08,36.53962707519531,89.99342346191406
2019-01-09,37.160125732421875,89.70038604736328
2019-01-10,37.27889633178711,89.76655578613281
2019-01-11,36.91289138793945,89.65311431884766
2019-01-14,36.357826232910156,89.7571029663086
2019-01-15,37.101959228515625,90.98600769042969
2019-01-16,37.55522537231445,91.08053588867188
2019-01-17,37.77820587158203,91.44920349121094
2019-01-18,38.010902404785156,92.38506317138672
2019-01-22,37.15769958496094,92.1581802368164
2019-01-23,37.307987213134766,93.31145477294922
2019-01-24,37.012264251708984,92.98060607910156
2019-01-25,38.238746643066406,91.63826751708984
2019-01-28,37.88486099243164,91.7516860961914
2019-01-29,37.49220275878906,91.42084503173828
2019-01-30,40.0542106628418,89.61531829833984
2019-01-31,40.342647552490234,90.58897399902344
2019-02-01,40.36203384399414,88.72671508789062
2019-02-04,41.50852584838867,89.58694458007812
2019-02-05,42.21871566772461,90.37155151367188
2019-02-06,42.23325729370117,90.40935516357422
2019-02-07,41.433380126953125,91.43975830078125
2019-02-08,41.48207473754883,90.3526382446289
2019-02-11,41.24351119995117,90.93873596191406
2019-02-12,41.598915100097656,91.66661071777344
2019-02-13,41.42607116699219,92.58358001708984
2019-02-14,41.57699966430664,93.1318588256836
2019-02-15,41.48450469970703,94.52145385742188
2019-02-19,41.60865020751953,96.61058807373047
2019-02-20,41.87641525268555,94.41748046875
2019-02-21,41.640296936035156,93.95426940917969
2019-02-22,42.1052360534668,94.10552215576172
2019-02-25,42.411949157714844,93.69902801513672
2019-02-26,42.4362907409668,93.29254913330078
2019-02-27,42.56774139404297,92.74427032470703
2019-02-28,42.149051666259766,93.57614135742188
2019-03-01,42.59208297729492,92.57413482666016
2019-03-04,42.80630874633789,92.49848175048828
2019-03-05,42.7284049987793,92.96170043945312
2019-03-06,42.4825439453125,92.88607025146484
2019-03-07,41.9908332824707,92.12036895751953
2019-03-08,42.09062957763672,92.25271606445312
2019-03-11,43.54874801635742,93.09406280517578
2019-03-12,44.03803253173828,92.99005889892578
2019-03-13,44.23277282714844,93.61395263671875
2019-03-14,44.724491119384766,93.34785461425781
2019-03-15,45.306270599365234,93.53792572021484
2019-03-18,45.7687873840332,94.71642303466797
2019-03-19,45.40607833862305,94.89698791503906
2019-03-20,45.8028678894043,93.74701690673828
2019-03-21,47.48979949951172,94.14617156982422
2019-03-22,46.50636672973633,93.40487670898438
2019-03-25,45.94404602050781,93.3003158569336
2019-03-26,45.46936798095703,93.44290161132812
2019-03-27,45.87833023071289,92.387939453125
2019-03-28,45.93918228149414,92.3119125366211
2019-03-29,46.238590240478516,92.69207000732422
2019-04-01,46.552608489990234,92.96768951416016
2019-04-02,47.229331970214844,92.13134002685547
2019-04-03,47.5530891418457,92.36893463134766
2019-04-04,47.63585662841797,93.24329376220703
2019-04-05,47.95473861694336,93.9275894165039
2019-04-08,48.7093620300293,94.3077392578125
2019-04-09,48.56330490112305,93.79451751708984
2019-04-10,48.8359375,94.65938568115234
2019-04-11,48.42942428588867,95.79986572265625
2019-04-12,48.409934997558594,96.52215576171875
2019-04-15,48.49757766723633,97.34901428222656
2019-04-16,48.50244903564453,97.82421112060547
2019-04-17,49.44694519042969,98.04280090332031
2019-04-18,49.6246337890625,98.06180572509766
2019-04-22,49.787742614746094,97.2919921875
2019-04-23,50.50584030151367,97.957275390625
2019-04-24,50.42794418334961,98.39446258544922
2019-04-25,49.970298767089844,98.38494110107422
2019-04-26,49.73173904418945,96.49364471435547
2019-04-29,49.80720520019531,96.52215576171875
2019-04-30,48.84811019897461,97.7386703491211
2019-05-01,51.2458381652832,96.33209228515625
2019-05-02,50.912357330322266,96.13249969482422
2019-05-03,51.545257568359375,97.0163803100586
2019-05-06,50.74925994873047,97.37752532958984
2019-05-07,49.3812141418457,96.27507781982422
2019-05-08,49.39094543457031,95.32466888427734
2019-05-09,48.860286712646484,95.10491180419922
2019-05-10,48.18339920043945,97.36932373046875
2019-05-13,45.38300323486328,95.43933868408203
2019-05-14,46.101436614990234,95.82148742675781
2019-05-15,46.65369415283203,95.42976379394531
2019-05-16,46.44842529296875,96.79603576660156
2019-05-17,46.184513092041016,96.36610412597656
2019-05-20,44.74032974243164,96.99669647216797
2019-05-21,45.598045349121094,96.61454010009766
2019-05-22,44.664573669433594,97.67506408691406
2019-05-23,43.90217208862305,97.32154083251953
2019-05-24,43.73356246948242,98.09546661376953
2019-05-28,43.55272674560547,97.85658264160156
2019-05-29,43.345027923583984,97.56995391845703
2019-05-30,43.56983947753906,97.63685607910156
2019-05-31,42.780548095703125,96.9202651977539
2019-06-03,42.3480224609375,97.41708374023438
2019-06-04,43.89728546142578,97.99034881591797
2019-06-05,44.60593795776367,99.7674789428711
2019-06-06,45.260826110839844,100.4267349243164
2019-06-07,46.46553039550781,101.33441162109375
2019-06-10,47.0593376159668,102.7293472290039
2019-06-11,47.60426330566406,103.13065338134766
2019-06-12,47.452754974365234,103.971435546875
2019-06-13,47.4429817199707,103.80901336669922
2019-06-14,47.09843063354492,104.21029663085938
2019-06-17,47.379451751708984,104.29630279541016
2019-06-18,48.49374008178711,104.76445007324219
2019-06-19,48.35200881958008,104.73580932617188
2019-06-20,48.74054718017578,105.40460968017578
2019-06-21,48.57438659667969,106.17849731445312
2019-06-24,48.52550506591797,106.28360748291016
2019-06-25,47.78997802734375,105.78678131103516
